Name,Link,Publisher,Score /5,Summary,created time,year,만들고 참여한 사람,상태,종류
타오르는 여인의 초상,"하말넘많의리뷰, 감독인터뷰",,SUPERSUPER,"여성간의 사랑과 연대가 어떤 형태인가를 보여준 영화. 치밀하고도 아름답게 구성된 영화. 배경음악이 없다는 걸 나중에 깨달았다. 얼굴과 얼굴, 평등과 연대, 불타는 열정과 새하얗고 유령같은 현실들. 마지막 장면을 두고두고 보고싶다. 지독하게 아픈 사랑이면서 떠올릴 때 행복해 마지 않는 사랑. 서로를 일깨워주는 것들에 대해서.",2020년 3월 17일 오전 9:52,2020,"노에미 메를랑, 셀린 시아마, 아델 에넬",완주,Film
콜디스트 게임,,Netflix,⭐️⭐️,"그냥 좀 평범한 냉전영화였다. 배경이 폴란드였다는 것 빼고? 픽션이고 체스게임과 천재, 우정 뭐 이런게 주제다. ",2020년 3월 17일 오전 10:06,2020,Lukasz Kosmicki,완주,Film
아토믹 블론드,,,⭐️⭐️⭐️,어쩌다 보니 이것도 냉전영화. 베를린의 벽이 허물어질때 쯔음.. 샤를리즈 테론이 처 때리고 처 맞는 난투극의 현장... 아무도 믿지말어 우리 언니빼고.. 글고 소피아 부텔라랑 샤를리즈 테론 ㅅㅅ하는 장면 대박적임.. 뭔가 스타일리쉬 액션 이런 너낌인데 머 그러려고 무단히 애를 쓴 흔적이다. 어쨌든 캐스팅은 대성공이다 액션이랑,2020년 3월 17일 오전 10:10,2020,"데이비드 린치, 샤를리즈 테론",완주,Film
샤프트,,,⭐️⭐️,"딱히.. 인상깊진 않고.. 그냥 흑인 액션영화라는데 의의를 두자.. 세대공감..? ",2020년 3월 17일 오전 10:16,2020,"사무엘 L 잭슨, 팀 스토리",완주,Film
찰리스 앤젤스,,,⭐️⭐️⭐️,여자 보는 맛에 봤다 히힝 유치하고 재밌어~ 역시 여적남임,2020년 3월 17일 오전 10:17,2020,엘리자베스 뱅크스,완주,Film
나를 차버린 스파이,,,⭐️⭐️⭐️,여자 액션 영화. 영어자막으로 봐서 이해도는 낮다. 그냥 저냥 재밌음,2020년 3월 17일 오전 10:20,2020,수재나 포글,완주,Film
이터널 선샤인,,,⭐️⭐️⭐️⭐️,영화 구조가 아주 특별했다. 기억을 잃는 와중에 정신세계에서 클레멘타인을 잊지 않기위해 고군분투하는 조엘. 자신의 기억들로 숨어들어가는. 그 꿈의 묘사와 잊혀지는 사람의 얼굴이 사라지는 과정. 촬영도 재밌어 보였고 구조도 독특하고.. 예술적인 영화였다. 관계와 사랑과 아름다운 기억들에 관해서.,2020년 3월 17일 오전 10:21,2020,미셸 공드리,완주,TV Series
결혼 이야기,,Netflix,⭐️⭐️⭐️⭐️,"감독의 자전적인 얘기 같다. 살짝 소설적으로 시작하고, 독백이 많이 나왔으며, 현실적으로 대화를 주고 받는 장면들이 이어진다. 노래가 잊히지 않는다. “너는 내 자리를 너무 많이 뺏지만, 네가 날 살아있음을 느끼게 만들어. 혼자는 그냥 혼자일 뿐.”  가족과 결혼이란것이 뭘까 생각하게 된다. 그 울타리 안에서 구속을 느끼면서도 안심하고, 서로에게 너무 지독한 상처를 주면서도 서로를 위로할 수 있는 유일한 존재들. 그렇지만 서로밖에 없지는 않다. ",2020년 3월 17일 오전 10:25,2020,노아 바움백,완주,Film
레이디 버드,,,⭐️⭐️⭐️⭐️,"자신으로 살고 싶지 않은 크리스틴. 레이디 버드라는 이름과 자신의 집이 아닌 곳에서 산다고 하고, 자신이 아닌 것을 행한다. 그 이유는 쿨해보이는 삶. 내 자신이 아닌 다른 삶이 멋져보여서. 그래서 내가 살고 있는 곳과 먼 곳에서 공부하고 싶어한다.  영화는 나름대로 단순한 구조로 흘러간다. 소녀와 방황, 우정과 사랑, 용서와 선택. 크리스틴은 원하던 곳으로 가서 공부를 시작하게 되지만 왠지 모르게 고향을 생각한다. 자신의 이름은 크리스틴이라고 한다. 크리스틴이라는 이름과 고향과 교회는 사실은 자기 자신을 상징하고, 레이디 버드, 전남자친구의 집, 뉴욕은 내가 되고 싶은 삶이다. 우리는 그 사이에서 영원히 방황할지도 모른다. *개인적으론 너무 현실적인 소녀의 모습이 너무 좋았다. 엄마와의 대화도. 모든 요소들이 억지스럽거나 부자연ㄴ스럽지 않은 연출.",2020년 3월 17일 오전 10:28,2020,그레타 거윅,완주,TV Series
쓰리 빌보드,,,SUPERSUPER,"세상은 왜 평안을 원하는가. 평화, 평안이 사실은 누군가의 침묵으로 이루어지고 있음을, 세 개의 빌보드의 외침이 말한다. 사람들의 마음은 혼란스럽고 복합적이다. 용서와 화해는 서로에게 분출한 뒤에 이루어진다. 밀드레드는 언제나 화나있지만 고맙다는 말을 할 수 있게 되고, ㅣㄴ종차별주의자 딕슨은 뜨거운 마음으로 책임을 질 수 있게 된다. 이 영화는 한 번 더 봐야될것 같다.. 씨벌 프랜시스 사랑해",2020년 3월 17일 오전 10:34,2020,마틴 맥도나,완주,Film
